"_id__$oid","address__building","address__coord__001","address__coord__002","address__street","address__zipcode","borough","cuisine","grades__date__$date","grades__grade","grades__score","name","restaurant_id"
"674c9a1645c47af2ccfae469","12A","77.5946","12.9716","Church Street","560001","Bangalore","North Indian","2021-09-02T00:00:00Z","A","3","Royal Punjabi Dhaba","500001"
"","","","","","","","","2020-09-04T00:00:00Z","A","5","",""
"674c9a1645c47af2ccfae46a","45","72.8777","19.076","Marine Drive","400002","Mumbai","Maharashtrian","2021-09-02T00:00:00Z","A","4","Konkan Coastal Kitchen","500002"
"","","","","","","","","2020-10-01T00:00:00Z","B","7","",""
"674c9a1645c47af2ccfae46b","78","77.1025","28.7041","Chandni Chowk","110006","Delhi","Mughlai","2021-06-01T00:00:00Z","A","2","Zam Zam Biryani","500003"
"","","","","","","","","2020-07-28T00:00:00Z","A","4","",""
"674c9a1645c47af2ccfae46c","17","88.3639","22.5726","Park Street","700016","Kolkata","Bengali","2021-05-01T00:00:00Z","A","3","Bong Flavors","500004"
"","","","","","","","","2020-05-09T00:00:00Z","B","6","",""
"674c9a1645c47af2ccfae46d","9","78.4867","17.385","Banjara Hills","500034","Hyderabad","Hyderabadi","2021-11-02T00:00:00Z","A","5","Nawab's Biryani House","500005"
"","","","","","","","","2020-12-31T00:00:00Z","B","8","",""
"674c9a1645c47af2ccfae46e","34","76.7794","30.7333","Sector 17","160017","Chandigarh","Punjabi","2021-09-02T00:00:00Z","A","4","Amritsari Tadka","500006"
"","","","","","","","","2020-09-04T00:00:00Z","A","5","",""
"674c9a1645c47af2ccfae46f","56","73.8567","18.5204","Fergusson College Road","411004","Pune","South Indian","2021-09-02T00:00:00Z","A","3","Sree Saravana Bhavan","500007"
"","","","","","","","","2020-09-04T00:00:00Z","B","6","",""
"674c9a1645c47af2ccfae470","104","76.9366","8.5241","MG Road","695001","Thiruvananthapuram","Kerala","2021-12-03T00:00:00Z","A","2","Malabar Magic","500008"
"","","","","","","","","2020-10-01T00:00:00Z","A","4","",""
"674c9a1645c47af2ccfae471","88","72.5714","23.0225","C.G. Road","380009","Ahmedabad","Gujarati","2021-07-01T00:00:00Z","A","1","Kathiawadi Junction","500009"
"","","","","","","","","2020-08-07T00:00:00Z","A","3","",""
"674c9a1645c47af2ccfae472","21","74.8792","31.634","Golden Temple Road","143001","Amritsar","Punjabi","2021-09-02T00:00:00Z","A","2","Golden Tandoori","500010"
"","","","","","","","","2020-09-04T00:00:00Z","B","5","",""
